,HR,BA,OBP,SLG,OPS,RBI
HR,1.0,0.39330031671687743,0.42287480248785153,0.6052770701010061,0.5454755496272754,0.9161957200456774
BA,0.39330031671687743,1.0,0.9303377107475811,0.9062127655880992,0.9452553776493584,0.4850614342466552
OBP,0.42287480248785153,0.9303377107475811,1.0,0.8761585695727602,0.9573850443420345,0.5028635109439524
SLG,0.6052770701010061,0.9062127655880992,0.8761585695727602,1.0,0.9780343568084138,0.6249066746736158
OPS,0.5454755496272754,0.9452553776493584,0.9573850443420345,0.9780343568084138,1.0,0.5918445106621797
RBI,0.9161957200456774,0.4850614342466552,0.5028635109439524,0.6249066746736158,0.5918445106621797,1.0
