Player name,Position,Win,Loss,Earned run Average,Games played,Games Started,Complete Game,Shutout,Save,Save Opportunity,Innings pitched,hit,run,earned run,home run,Hit Batsmen,base on balls,Strikeouts,WHIP,AVG
H Vaughn,P,178.0,137.0,2.49,390.0,332.0,214.0,41.0,5.0,0.0,2730.0,2461.0,1039.0,754.0,39.0,85.0,817.0,1416.0,1.2,0.244
D Neagle,P,124.0,92.0,4.24,392.0,286.0,20.0,7.0,3.0,3.0,1890.1,1887.0,948.0,891.0,250.0,53.0,594.0,1415.0,1.31,0.26
R Culp,P,122.0,101.0,3.58,322.0,268.0,80.0,22.0,1.0,1.0,1898.1,1677.0,863.0,755.0,188.0,70.0,752.0,1411.0,1.28,0.235
W Wood,P,164.0,156.0,3.24,651.0,297.0,114.0,24.0,57.0,70.0,2684.0,2582.0,1130.0,965.0,209.0,63.0,724.0,1411.0,1.23,0.254
A Sele,P,148.0,112.0,4.61,404.0,352.0,15.0,9.0,0.0,1.0,2153.0,2413.0,1208.0,1102.0,225.0,112.0,798.0,1407.0,1.49,0.285
M Torrez,P,185.0,160.0,3.96,494.0,458.0,117.0,15.0,0.0,0.0,3044.0,3043.0,1501.0,1340.0,223.0,59.0,1371.0,1404.0,1.45,0.264
E Moore,P,163.0,154.0,2.78,388.0,326.0,230.0,34.0,6.0,0.0,2776.0,2474.0,1231.0,856.0,57.0,106.0,1108.0,1403.0,1.29,0.241
S Reynolds,P,114.0,96.0,4.09,305.0,278.0,20.0,7.0,0.0,0.0,1791.2,1935.0,895.0,814.0,191.0,41.0,419.0,1403.0,1.31,0.275
M Morgan,P,141.0,186.0,4.23,597.0,411.0,46.0,10.0,8.0,12.0,2772.1,2943.0,1430.0,1303.0,270.0,73.0,938.0,1403.0,1.4,0.276
D Burba,P,115.0,87.0,4.49,511.0,234.0,6.0,1.0,3.0,8.0,1777.2,1777.0,961.0,886.0,201.0,58.0,762.0,1398.0,1.43,0.26
J Suppan,P,140.0,146.0,4.7,448.0,417.0,16.0,5.0,0.0,0.0,2542.2,2843.0,1451.0,1328.0,337.0,94.0,871.0,1390.0,1.46,0.285
M Hampton,P,148.0,115.0,4.06,419.0,355.0,21.0,9.0,1.0,1.0,2268.1,2370.0,1157.0,1024.0,200.0,49.0,901.0,1387.0,1.44,0.273
D White,P,189.0,156.0,2.39,427.0,363.0,262.0,45.0,5.0,0.0,3041.0,2738.0,1118.0,808.0,33.0,120.0,670.0,1384.0,1.12,0.242
A Nola,P,78.0,62.0,3.63,204.0,204.0,5.0,3.0,0.0,0.0,1232.0,1060.0,520.0,497.0,138.0,48.0,328.0,1384.0,1.13,0.229
E Loaiza,P,126.0,114.0,4.65,377.0,333.0,14.0,6.0,1.0,1.0,2099.0,2352.0,1170.0,1084.0,259.0,75.0,604.0,1382.0,1.41,0.284
M Garza,P,93.0,106.0,4.09,290.0,284.0,10.0,4.0,1.0,1.0,1710.2,1681.0,876.0,777.0,198.0,50.0,581.0,1380.0,1.32,0.256
B Myers,P,97.0,96.0,4.25,381.0,252.0,12.0,3.0,40.0,45.0,1710.0,1725.0,864.0,807.0,247.0,56.0,556.0,1379.0,1.33,0.261
G Bell,P,121.0,117.0,3.68,519.0,233.0,71.0,9.0,51.0,51.0,2015.0,1794.0,932.0,825.0,207.0,54.0,842.0,1378.0,1.31,0.239
S Jones,P,102.0,101.0,3.59,322.0,222.0,76.0,17.0,9.0,0.0,1643.1,1403.0,752.0,655.0,151.0,60.0,822.0,1376.0,1.35,0.23
M Brown,P,239.0,130.0,2.06,481.0,332.0,271.0,55.0,49.0,0.0,3172.1,2708.0,1044.0,725.0,43.0,61.0,673.0,1375.0,1.07,0.233
E Cicotte,P,209.0,148.0,2.38,502.0,361.0,249.0,35.0,24.0,0.0,3226.0,2897.0,1161.0,853.0,32.0,52.0,827.0,1374.0,1.15,0.244
M Witt,P,117.0,116.0,3.83,341.0,299.0,72.0,11.0,6.0,6.0,2108.1,2066.0,1012.0,898.0,183.0,55.0,713.0,1373.0,1.32,0.257
K Gausman,P,76.0,83.0,3.92,268.0,229.0,1.0,0.0,0.0,2.0,1358.0,1360.0,632.0,591.0,173.0,30.0,375.0,1373.0,1.28,0.259
J Nuxhall,P,135.0,117.0,3.9,526.0,287.0,83.0,20.0,19.0,0.0,2302.2,2310.0,1093.0,998.0,209.0,70.0,776.0,1372.0,1.34,0.262
M Gubicza,P,132.0,136.0,3.96,384.0,329.0,42.0,16.0,2.0,2.0,2223.1,2239.0,1063.0,978.0,155.0,58.0,786.0,1371.0,1.36,0.264
P Harnisch,P,111.0,103.0,3.89,321.0,318.0,24.0,11.0,0.0,0.0,1959.0,1822.0,926.0,846.0,223.0,49.0,716.0,1368.0,1.3,0.245
T Hughes,P,132.0,174.0,3.09,399.0,313.0,227.0,25.0,16.0,0.0,2644.0,2610.0,1292.0,909.0,52.0,102.0,853.0,1368.0,1.31,0.259
L McDaniel,P,141.0,119.0,3.45,987.0,74.0,18.0,2.0,172.0,193.0,2139.1,2099.0,934.0,821.0,172.0,15.0,623.0,1361.0,1.27,0.258
B Shawkey,P,195.0,150.0,3.1,488.0,333.0,197.0,33.0,28.0,0.0,2937.0,2722.0,1202.0,1011.0,114.0,48.0,1018.0,1360.0,1.27,0.251
S Bahnsen,P,146.0,149.0,3.6,574.0,327.0,73.0,16.0,20.0,20.0,2529.0,2440.0,1127.0,1013.0,223.0,34.0,924.0,1359.0,1.33,0.255
E Whitehill,P,218.0,185.0,4.36,541.0,473.0,226.0,16.0,11.0,0.0,3564.2,3917.0,2018.0,1726.0,192.0,101.0,1431.0,1350.0,1.5,0.282
E Rixey,P,266.0,251.0,3.15,692.0,554.0,290.0,37.0,14.0,0.0,4494.2,4633.0,1987.0,1572.0,92.0,76.0,1082.0,1350.0,1.27,0.272
M Baldwin,P,154.0,165.0,3.37,346.0,328.0,295.0,14.0,5.0,0.0,2802.1,2695.0,1816.0,1050.0,82.0,123.0,1307.0,1349.0,1.43,0.244
S Gray,P,91.0,77.0,3.55,248.0,239.0,6.0,4.0,0.0,1.0,1392.0,1195.0,605.0,549.0,138.0,45.0,493.0,1339.0,1.21,0.23
W Alvarez,P,102.0,92.0,3.96,355.0,263.0,12.0,5.0,4.0,5.0,1747.2,1624.0,857.0,769.0,190.0,50.0,805.0,1330.0,1.39,0.248
M Boddicker,P,134.0,116.0,3.8,342.0,309.0,63.0,16.0,3.0,3.0,2123.2,2082.0,992.0,897.0,188.0,87.0,721.0,1330.0,1.32,0.257
J Quinn,P,247.0,218.0,3.29,756.0,443.0,243.0,28.0,57.0,0.0,3920.1,4238.0,1837.0,1434.0,102.0,91.0,860.0,1329.0,1.3,0.28
B Sheets,P,94.0,96.0,3.78,250.0,250.0,18.0,4.0,0.0,0.0,1596.2,1577.0,736.0,670.0,184.0,32.0,369.0,1325.0,1.22,0.257
T Mulholland,P,124.0,142.0,4.41,685.0,332.0,45.0,10.0,5.0,11.0,2575.2,2833.0,1396.0,1262.0,293.0,70.0,681.0,1325.0,1.36,0.281
D Leonard,P,144.0,106.0,3.7,312.0,302.0,103.0,23.0,1.0,1.0,2187.0,2137.0,1008.0,898.0,202.0,52.0,622.0,1323.0,1.26,0.257
E Volquez,P,95.0,89.0,4.45,294.0,273.0,4.0,2.0,0.0,0.0,1546.1,1507.0,829.0,765.0,159.0,76.0,735.0,1323.0,1.45,0.256
M McCormick,P,134.0,128.0,3.73,484.0,333.0,91.0,23.0,12.0,14.0,2380.1,2281.0,1100.0,986.0,256.0,24.0,795.0,1321.0,1.29,0.251
B Bush,P,196.0,184.0,3.51,489.0,370.0,225.0,35.0,19.0,0.0,3087.1,2992.0,1439.0,1204.0,96.0,63.0,1263.0,1319.0,1.38,0.258
B Hadley,P,161.0,165.0,4.24,528.0,355.0,135.0,14.0,25.0,0.0,2945.2,2980.0,1610.0,1389.0,167.0,63.0,1442.0,1318.0,1.5,0.263
J McDowell,P,127.0,87.0,3.85,277.0,275.0,62.0,13.0,0.0,0.0,1889.0,1854.0,874.0,809.0,173.0,48.0,606.0,1311.0,1.3,0.257
K Escobar,P,101.0,91.0,4.15,411.0,202.0,10.0,4.0,59.0,69.0,1507.0,1461.0,755.0,695.0,137.0,47.0,611.0,1310.0,1.37,0.254
S Barber,P,121.0,106.0,3.36,466.0,272.0,59.0,21.0,13.0,17.0,1999.0,1818.0,870.0,747.0,125.0,42.0,950.0,1309.0,1.38,0.245
S Williams,P,109.0,94.0,3.48,482.0,208.0,42.0,11.0,43.0,56.0,1764.1,1527.0,785.0,682.0,160.0,71.0,748.0,1305.0,1.29,0.232
P Ramos,P,117.0,160.0,4.08,582.0,268.0,73.0,13.0,55.0,57.0,2355.2,2364.0,1210.0,1068.0,316.0,68.0,724.0,1305.0,1.31,0.261
