Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
1,2023,C,Francisco Álvarez,21,123,423,382,51,80,12,0,25,63,2,0,34,110,0.209,0.284,0.437,0.721,95,167,14,6,0,1,0,Right,No
2,2023,1B,Pete Alonso,28,154,658,568,92,123,21,2,46,118,4,1,65,151,0.217,0.318,0.504,0.821,122,286,17,21,0,4,6,Right,No
3,2023,2B,Jeff McNeil,31,156,648,585,75,158,25,4,10,55,10,0,39,65,0.27,0.333,0.378,0.711,96,221,5,18,3,3,0,Left,No
4,2023,SS,Francisco Lindor,29,160,687,602,108,153,33,2,31,98,31,4,66,137,0.254,0.336,0.47,0.806,120,283,8,12,0,7,1,Right,Yes
5,2023,3B,Brett Baty,23,108,389,353,41,75,12,0,9,34,2,0,29,109,0.212,0.275,0.323,0.598,65,114,8,2,1,1,0,Left,No
6,2023,LF,Mark Canha,34,89,303,257,28,63,15,1,6,29,7,0,32,52,0.245,0.343,0.381,0.725,100,98,8,9,0,5,0,Right,No
7,2023,CF,Brandon Nimmo,30,152,682,592,89,162,30,6,24,68,3,3,74,146,0.274,0.363,0.466,0.829,127,276,6,11,1,4,0,Left,No
8,2023,RF,Starling Marte,34,86,341,315,38,78,7,1,5,28,24,4,16,69,0.248,0.301,0.324,0.625,73,102,8,8,2,0,1,Right,No
9,2023,DH,Daniel Vogelbach,30,104,319,275,33,64,8,0,13,48,0,0,42,81,0.233,0.339,0.404,0.742,104,111,6,2,0,0,1,Left,No
10,2023,LF,Tommy Pham,35,79,264,231,29,62,15,1,10,36,11,1,29,56,0.268,0.348,0.472,0.82,124,109,2,1,0,3,1,Right,No
11,2023,DH,Mark Vientos,23,65,233,218,19,46,5,1,9,22,1,0,10,71,0.211,0.253,0.367,0.62,69,80,5,3,0,2,0,Right,No
12,2023,RF,DJ Stewart,29,58,185,160,21,39,9,0,11,26,1,1,15,56,0.244,0.333,0.506,0.84,128,81,3,7,1,1,0,Left,No
13,2023,C,Omar Narváez,31,49,146,128,12,27,5,0,2,7,0,0,14,27,0.211,0.283,0.297,0.58,61,38,1,0,1,3,0,Left,No
14,2023,OF,Rafael Ortega,32,47,136,114,16,25,3,0,1,8,6,1,20,33,0.219,0.341,0.272,0.613,73,31,0,1,1,0,0,Left,No
15,2023,2B,Luis Guillorme,28,54,120,107,12,24,6,1,1,9,0,0,10,28,0.224,0.288,0.327,0.615,70,35,4,0,2,1,1,Left,No
16,2023,3B,Eduardo Escobar,34,40,120,110,15,26,3,2,4,16,2,0,8,24,0.236,0.286,0.409,0.695,89,45,4,0,1,1,0,Right,Yes
17,2023,2B,Ronny Mauricio,22,26,108,101,11,25,4,0,2,9,7,0,7,31,0.248,0.296,0.347,0.643,77,35,2,0,0,0,0,Right,Yes
18,2023,UT,Danny Mendick,29,33,69,65,4,12,3,0,1,4,1,0,4,15,0.185,0.232,0.277,0.509,40,18,1,0,0,0,0,Right,No
19,2023,LF,Tim Locastro,30,43,67,56,13,13,3,0,2,3,6,0,3,22,0.232,0.338,0.393,0.731,102,22,0,6,2,0,0,Right,No
20,2023,IF,Jonathan Araúz,24,27,66,59,3,8,0,0,3,9,0,0,5,18,0.136,0.203,0.288,0.491,34,17,1,0,2,0,0,Right,Yes
21,2023,C,Tomás Nido,29,22,61,56,5,7,0,0,0,1,0,0,2,18,0.125,0.153,0.125,0.278,-22,7,2,0,2,1,0,Right,No
22,2023,OF,Abraham Almonte,34,8,16,15,1,1,1,0,0,0,0,0,1,8,0.067,0.125,0.133,0.258,-28,2,0,0,0,0,0,Right,Yes
23,2023,C,Michael Perez,30,3,8,8,1,4,1,0,0,0,0,0,0,1,0.5,0.5,0.625,1.125,209,5,0,0,0,0,0,Left,No
24,2023,C,Gary Sánchez,30,3,7,6,0,1,0,0,0,1,0,0,0,3,0.167,0.143,0.167,0.31,-15,1,0,0,0,1,0,Right,No
25,2023,P,Justin Verlander,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
26,2023,P,Carlos Carrasco,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
27,2023,P,Sam Coonrod,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
28,2023,P,José Quintana,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
29,2023,P,Dominic Leone,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
30,2023,P,Grant Hartwig,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
31,2023,P,Brooks Raley,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
32,2023,P,Sean Reid-Foley,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
33,2023,P,Max Scherzer,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
34,2023,P,Trevor Gott,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
35,2023,P,Dennis Santana,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
36,2023,P,John Curtiss,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
37,2023,P,Phil Bickford,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
38,2023,P,Tylor Megill,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
39,2023,P,Jimmy Yacabonis,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
40,2023,P,T.J. McFarland,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
41,2023,P,Jeff Brigham,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
42,2023,P,Kodai Senga,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
43,2023,P,Denyi Reyes,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
44,2023,P,Drew Smith,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
45,2023,P,Tyson Miller,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
46,2023,P,Zach Muckenhirn,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
47,2023,P,Tommy Hunter,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
48,2023,P,David Peterson,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
49,2023,P,Edwin Uceta,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
50,2023,P,Joey Lucchesi,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
51,2023,P,José Butto,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
52,2023,P,Anthony Kay,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
53,2023,P,Josh Walker,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
54,2023,P,Adam Kolarek,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
55,2023,P,Reed Garrett,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
56,2023,P,Vinny Nittoli,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
57,2023,P,David Robertson,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
58,2023,P,Stephen Nogosek,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
59,2023,P,Adam Ottavino,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,Yes
1,2022,C,Tomás Nido,28,98,313,284,31,68,15,0,3,28,0,0,14,76,0.239,0.276,0.324,0.6,72,92,14,1,12,2,0,Right,No
2,2022,1B,Pete Alonso,27,160,685,597,95,162,27,0,40,131,5,1,67,128,0.271,0.352,0.518,0.869,146,309,17,12,0,9,16,Right,No
3,2022,2B,Jeff McNeil,30,148,589,533,73,174,39,1,9,62,4,0,40,61,0.326,0.382,0.454,0.836,140,242,6,11,0,5,1,Left,No
4,2022,SS,Francisco Lindor,28,161,706,630,98,170,25,5,26,107,16,6,59,133,0.27,0.339,0.449,0.788,125,283,11,10,0,7,2,Right,Yes
5,2022,3B,Eduardo Escobar,33,136,542,495,58,119,26,4,20,69,0,2,40,129,0.24,0.295,0.43,0.726,106,213,4,1,0,6,3,Right,Yes
6,2022,LF,Mark Canha,33,140,542,462,71,123,24,0,13,61,3,1,48,97,0.266,0.367,0.403,0.77,122,186,3,28,0,4,1,Right,No
7,2022,CF,Brandon Nimmo,29,151,673,580,102,159,30,7,16,64,3,2,71,116,0.274,0.367,0.433,0.8,130,251,9,16,3,3,0,Left,No
8,2022,RF,Starling Marte,33,118,505,466,76,136,24,5,16,63,18,9,26,97,0.292,0.347,0.468,0.814,132,218,18,13,0,0,0,Right,No
9,2022,DH,Daniel Vogelbach,29,55,183,149,18,38,9,0,6,25,0,0,33,47,0.255,0.393,0.436,0.83,139,65,3,1,0,0,1,Left,No
10,2022,IF,Luis Guillorme,27,102,335,297,33,81,12,1,2,17,1,0,34,46,0.273,0.351,0.34,0.691,101,101,15,2,2,0,1,Left,No
11,2022,DH,J.D. Davis,29,66,207,181,26,43,8,1,4,21,1,1,20,66,0.238,0.324,0.359,0.683,97,65,9,4,0,2,0,Right,No
12,2022,C,James McCann,32,61,191,174,19,34,6,0,3,18,3,0,11,46,0.195,0.257,0.282,0.538,55,49,5,4,0,2,0,Right,No
13,2022,1B,Dominic Smith,27,58,152,134,11,26,10,1,0,17,0,0,12,37,0.194,0.276,0.284,0.56,62,38,0,4,0,2,0,Left,No
14,2022,OF,Tyler Naquin,31,49,130,123,18,25,7,2,4,13,1,0,6,40,0.203,0.246,0.39,0.636,80,48,2,1,0,0,0,Left,No
15,2022,UT,Darin Ruf,35,28,74,66,6,10,3,0,0,7,0,0,5,20,0.152,0.216,0.197,0.413,20,13,3,1,0,2,0,Right,No
16,2022,C,Patrick Mazeika,28,24,72,68,4,13,4,0,1,6,0,0,2,9,0.191,0.214,0.294,0.508,45,20,0,0,2,0,0,Left,No
17,2022,OF,Travis Jankowski,31,43,63,54,11,9,0,0,0,2,3,0,8,9,0.167,0.286,0.167,0.452,35,9,0,1,0,0,0,Left,No
18,2022,2B,Robinson Canó,39,12,43,41,3,8,0,0,1,3,0,0,2,11,0.195,0.233,0.268,0.501,44,11,0,0,0,0,0,Left,No
19,2022,3B,Brett Baty,22,11,42,38,4,7,0,0,2,5,0,0,2,8,0.184,0.244,0.342,0.586,67,13,0,1,0,0,0,Left,No
20,2022,DH,Mark Vientos,22,16,41,36,3,6,1,0,1,3,0,0,5,12,0.167,0.268,0.278,0.546,58,10,1,0,0,0,0,Right,No
21,2022,OF,Nick Plummer,25,14,31,29,4,4,1,0,2,6,0,0,1,12,0.138,0.194,0.379,0.573,60,11,1,1,0,0,0,Left,No
22,2022,C,Michael Perez,29,6,16,14,2,2,0,0,0,3,0,0,2,6,0.143,0.25,0.143,0.393,18,2,0,0,0,0,0,Left,No
23,2022,DH,Francisco Álvarez,20,5,14,12,3,2,1,0,1,1,0,0,2,4,0.167,0.286,0.5,0.786,121,6,1,0,0,0,0,Right,No
24,2022,OF,Ender Inciarte,31,11,8,8,1,1,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,-28,1,0,0,0,0,0,Left,No
25,2022,OF,Terrance Gore,31,10,8,7,1,1,0,0,0,0,3,0,0,3,0.143,0.143,0.143,0.286,-17,1,0,0,1,0,0,Right,No
26,2022,IF,Deven Marrero,31,5,6,6,0,0,0,0,0,0,1,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
27,2022,DH,Travis Blankenhorn,25,1,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
28,2022,CF,Khalil Lee,24,2,2,2,1,1,0,0,1,3,0,0,0,0,0.5,0.5,2.0,2.5,574,4,0,0,0,0,0,Left,No
29,2022,RF,Matt Reynolds,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
30,2022,IF,Yolmer Sanchez,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,Yes
31,2022,P,Seth Lugo,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
32,2022,P,Jake Reed,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
33,2022,P,Carlos Carrasco,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
34,2022,P,Thomas Szapucki,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
35,2022,P,Nate Fisher,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
36,2022,P,Adonis Medina,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
37,2022,P,Sean Reid-Foley,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
38,2022,P,Max Scherzer,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
39,2022,P,Alex Claudio,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
40,2022,P,Trevor May,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
41,2022,P,Tylor Megill,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
42,2022,P,Sam Clay,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
43,2022,P,Drew Smith,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
44,2022,P,Tommy Hunter,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
45,2022,P,Rob Zastryzny,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
46,2022,P,David Peterson,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
47,2022,P,Mychal Givens,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
48,2022,P,José Butto,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
49,2022,P,Bryce Montes de Oca,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
50,2022,P,Joely Rodríguez,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
51,2022,P,Yoan López,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
52,2022,P,Chris Bassitt,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
53,2022,P,Edwin Díaz,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
54,2022,P,Taijuan Walker,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
55,2022,P,Trevor Williams,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
56,2022,P,Chasen Shreve,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
57,2022,P,Stephen Nogosek,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
58,2022,P,Colin Holderman,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
59,2022,P,Adam Ottavino,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,Yes
60,2022,P,Jacob deGrom,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
61,2022,P,R.J. Alvarez,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,2021,C,James McCann,31,121,412,375,29,87,12,1,10,46,1,2,32,115,0.232,0.294,0.349,0.643,76,131,12,2,0,3,1,Right,No
2,2021,1B,Pete Alonso,26,152,637,561,81,147,27,3,37,94,3,0,60,127,0.262,0.344,0.519,0.863,133,291,20,12,0,4,6,Right,No
3,2021,2B,Jeff McNeil,29,120,426,386,48,97,19,1,7,35,3,0,29,58,0.251,0.319,0.36,0.679,87,139,10,10,0,1,0,Left,No
4,2021,SS,Francisco Lindor,27,125,524,452,73,104,16,3,20,63,10,4,58,96,0.23,0.322,0.412,0.734,100,186,7,5,6,3,4,Right,Yes
5,2021,3B,Jonathan Villar,30,142,505,454,63,113,18,2,18,42,14,7,46,132,0.249,0.322,0.416,0.738,101,189,6,3,2,0,2,Right,Yes
6,2021,LF,Dominic Smith,26,145,493,446,43,109,20,0,11,58,2,1,32,112,0.244,0.304,0.363,0.667,83,162,13,9,0,6,2,Left,No
7,2021,CF,Brandon Nimmo,28,92,386,325,51,95,17,3,8,28,5,4,54,79,0.292,0.401,0.437,0.838,131,142,3,5,2,0,0,Left,No
8,2021,RF,Michael Conforto,28,125,479,406,52,94,20,0,14,55,1,0,59,104,0.232,0.344,0.384,0.729,100,156,14,12,0,2,3,Left,No
9,2021,OF,Kevin Pillar,32,124,347,325,40,75,11,2,15,47,4,3,11,81,0.231,0.277,0.415,0.692,87,135,5,10,0,1,0,Right,No
10,2021,3B,J.D. Davis,28,73,211,179,18,51,12,0,5,23,1,0,24,68,0.285,0.384,0.436,0.82,125,78,4,6,0,2,1,Right,No
11,2021,2B,Javier Báez,28,47,186,167,32,50,9,0,9,22,5,2,13,53,0.299,0.371,0.515,0.886,140,86,5,6,0,0,1,Right,No
12,2021,C,Tomás Nido,27,58,161,153,16,34,5,1,3,13,1,0,5,44,0.222,0.261,0.327,0.588,60,50,4,3,0,0,1,Right,No
13,2021,IF,Luis Guillorme,26,69,156,132,13,35,3,0,1,5,0,2,23,23,0.265,0.374,0.311,0.685,92,41,2,0,1,0,2,Left,No
14,2021,2B,José Peraza,27,64,154,142,21,29,7,0,6,20,1,0,9,26,0.204,0.266,0.38,0.647,75,54,5,3,0,0,0,Right,No
15,2021,RF,Billy McKinney,26,39,102,91,15,20,6,1,5,14,1,0,11,31,0.22,0.304,0.473,0.776,109,43,1,0,0,0,0,Left,No
16,2021,UT,Brandon Drury,28,51,88,84,7,23,5,0,4,14,0,0,3,22,0.274,0.307,0.476,0.783,111,40,3,1,0,0,0,Right,No
17,2021,C,Patrick Mazeika,27,37,87,79,6,15,3,0,1,6,0,0,4,18,0.19,0.253,0.266,0.519,43,21,2,3,0,1,1,Left,No
18,2021,CF,Albert Almora,27,47,54,52,3,6,3,0,0,0,0,0,2,17,0.115,0.148,0.173,0.321,-12,9,1,0,0,0,0,Right,No
19,2021,CF,Mason Williams,29,17,37,33,3,7,1,0,1,1,0,1,4,9,0.212,0.297,0.333,0.631,73,11,1,0,0,0,1,Left,No
20,2021,OF,Cameron Maybin,34,9,33,28,2,1,0,0,0,0,1,0,3,12,0.036,0.182,0.036,0.218,-35,1,0,2,0,0,0,Right,No
21,2021,UT,Travis Blankenhorn,24,23,24,23,3,4,2,0,1,4,0,0,1,8,0.174,0.208,0.391,0.6,60,9,0,0,0,0,0,Left,No
22,2021,CF,Johneshwy Fargas,26,7,22,21,1,6,3,1,0,3,0,0,0,7,0.286,0.286,0.524,0.81,116,11,0,0,1,0,0,Right,No
23,2021,RF,Khalil Lee,23,11,18,18,2,1,1,0,0,1,0,0,0,13,0.056,0.056,0.111,0.167,-56,2,0,0,0,0,0,Left,No
24,2021,2B,Wilfredo Tovar,29,6,12,11,0,2,0,0,0,1,0,0,1,4,0.182,0.25,0.182,0.432,22,2,0,0,0,0,0,Right,No
25,2021,C,Chance Sisco,26,5,10,9,1,1,1,0,0,1,0,0,1,3,0.111,0.2,0.222,0.422,16,2,1,0,0,0,0,Left,No
26,2021,OF,Jake Hager,28,5,8,8,1,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25,-31,1,0,0,0,0,0,Right,No
27,2021,,Brad Hand,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
28,2021,P,Marcus Stroman,30,30,58,51,2,5,2,0,0,1,1,0,4,24,0.098,0.164,0.137,0.301,-16,7,0,0,3,0,0,Right,No
29,2021,P,Taijuan Walker,28,28,51,47,0,5,0,0,0,1,0,0,1,29,0.106,0.143,0.106,0.249,-30,5,1,1,2,0,0,Right,No
30,2021,P,Jacob deGrom,33,15,33,33,4,12,1,0,0,6,0,0,0,9,0.364,0.364,0.394,0.758,109,13,0,0,0,0,0,Left,No
31,2021,P,Tylor Megill,25,18,31,28,1,6,3,0,0,0,0,0,1,17,0.214,0.241,0.321,0.563,53,9,0,0,2,0,0,Right,No
32,2021,P,Rich Hill,41,13,22,20,0,2,0,0,0,0,0,0,0,8,0.1,0.1,0.1,0.2,-45,2,2,0,2,0,0,Left,No
33,2021,P,David Peterson,25,14,20,16,2,1,1,0,0,0,0,0,0,10,0.063,0.118,0.125,0.243,-33,2,0,1,3,0,0,Left,No
34,2021,P,Carlos Carrasco,34,12,19,15,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,-100,0,0,0,4,0,0,Right,No
35,2021,P,Joey Lucchesi,28,10,11,10,1,0,0,0,0,0,0,0,1,7,0.0,0.091,0.0,0.091,-72,0,0,0,0,0,0,Left,No
36,2021,P,Jerad Eickhoff,30,6,8,5,0,2,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,122,2,1,0,3,0,0,Right,No
37,2021,P,Trevor Williams,29,9,8,7,0,1,0,0,0,0,0,0,0,3,0.143,0.143,0.143,0.286,-21,1,0,0,1,0,0,Right,No
38,2021,P,Robert Gsellman,27,16,6,5,0,0,0,0,0,0,0,0,1,4,0.0,0.167,0.0,0.167,-48,0,0,0,0,0,0,Right,No
39,2021,P,Corey Oswalt,27,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,Right,No
40,2021,P,Sean Reid-Foley,25,11,2,0,0,0,0,0,0,0,0,0,2,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
41,2021,P,Robert Stock,31,2,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
42,2021,P,Jordan Yamamoto,25,2,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,177,1,0,0,0,0,0,Right,No
43,2021,P,Jake Reed,28,4,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
44,2021,P,Yennsy Díaz,24,20,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
45,2021,P,Drew Smith,27,28,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
46,2021,P,Tommy Hunter,34,3,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,454,1,0,0,0,0,0,Right,No
47,2021,P,Stephen Nogosek,26,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
48,2021,P,Seth Lugo,31,44,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
49,2021,P,Nick Tropeano,30,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
50,2021,P,Thomas Szapucki,25,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
51,2021,P,Anthony Banda,27,5,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
52,2021,P,Noah Syndergaard,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
53,2021,P,Jeurys Familia,31,60,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
